customer_id,total_orders,total_spent
7484,4,649.56
1803,4,873.65
9138,2,566.56
4588,4,925.56
3240,2,513.89
1645,6,1260.82
1546,2,577.27
3153,2,544.69
6352,2,793.82
3695,3,434.01
5835,2,741.54
2886,3,1128.07
3306,2,720.44
7511,3,1272.8
6992,3,761.41
8451,2,547.29
5295,3,428.41
2035,2,390.52
5951,2,374.91
3290,3,272.43
5986,2,861.56
3222,3,612.47
9850,2,248.61
2622,2,783.42
1536,2,437.13
8264,3,619.78
6942,2,180.11
6876,5,1130.41
4109,3,810.95
2501,2,359.44
1349,4,1096.13
4990,2,628.28
4394,4,650.64
6383,4,1369.7
1046,3,909.76
3129,3,482.22
3159,5,561.74
6304,2,104.36
1858,2,340.01
9619,2,110.81
8802,3,410.91
9408,2,733.9
9254,2,212.07
1710,4,1368
9543,3,450.78
1510,5,639.56
9032,3,787.44
2204,3,700.15
3430,3,273.21
9984,2,660.25
9692,3,436.11
4522,2,380.33
7779,3,622.49
7532,3,537.55
8770,3,545.21
2527,4,901.35
7105,2,817.1
1982,2,719.75
6400,2,801.16
6793,3,806.95
1842,3,1121.19
6119,4,874.42
9313,2,304.68
8900,3,789.78
2882,4,1306.31
1430,2,495.25
5381,2,493.73
1100,5,966.72
7566,4,450.92
1502,2,268.34
4524,4,943.46
2391,2,898.93
2336,3,687.65
7947,3,774.98
7785,2,620.16
5640,2,712.22
8972,4,706.89
1744,2,328.34
1897,3,383.65
4460,4,684.82
5742,4,1095.35
6802,2,385.86
2275,2,695.59
8033,2,607.17
7843,2,264.56
1341,4,1184.8
8538,3,778.25
9584,2,433.39
2251,3,785.63
9693,5,1698.87
6752,2,581.4
5193,3,295.16
2234,4,1007.86
9095,4,947.49
8354,6,1510.27
6295,3,659.61
6179,2,116.3
9312,2,441.69
8404,4,720.41
5703,2,144.82
4084,2,365.53
9214,2,372.17
2381,3,757.14
1641,2,504.71
8199,2,364.14
3600,2,404.8
7347,5,1307.52
1857,3,667.32
6482,4,1193.27
7333,2,161.64
3463,2,423.45
3317,2,861.94
2388,4,1076.1
6381,2,426.24
7937,3,583.76
6940,4,676.42
6598,4,1075.78
4145,2,229.25
9626,2,317.5
3147,2,725.06
3658,2,584.05
3712,2,411.07
4891,2,547.56
5668,5,1431.39
8684,3,770.82
8218,2,324.58
3655,4,916.88
3267,4,1493.61
8873,4,927.23
3042,4,646.73
5469,2,673.12
4637,2,550.48
1436,3,695.73
9224,2,259.32
6493,5,1464.42
1627,3,512.89
3273,3,777.4
8349,3,1074.62
9991,3,723.11
9647,3,563.92
4893,4,799.72
4906,3,1054.31
8489,2,522.48
9782,3,534.05
4963,2,794.32
8032,5,823.69
4941,4,1221.03
2402,3,1230.6
2108,3,1093.63
1333,2,232.88
5155,2,586.25
2106,3,676.97
2698,2,441.39
6447,2,262.56
9945,2,661.13
3868,3,977.03
8612,2,774.17
3986,3,1125.08
8498,2,461.19
1717,4,1349.51
6170,2,617.53
7524,6,1618.75
8756,6,1682.16
4131,2,515
8159,3,1275.3
6554,2,762.21
9151,2,247.73
7955,2,275.99
3956,4,982.6
5843,2,318.66
7981,2,322.72
6759,2,333.37
6776,2,603.57
5498,5,996.85
6952,3,958.26
3621,4,1384.04
8179,2,121.78
4866,2,533.35
1530,3,533.48
8273,4,1183.39
3255,4,868.29
6150,3,873.06
2929,3,565.86
8311,2,266.64
5678,3,910.25
4279,3,737.03
8406,4,707.84
8292,3,835.45
6236,2,478.06
2063,3,624.73
5914,2,772.35
3852,2,513.08
4673,2,186.51
7044,2,603.4
3126,4,1307.1
2077,3,360.31
2208,2,443.4
2215,2,688.66
9476,7,2070.76
3981,4,1546.78
8088,3,557.75
3034,2,654.03
4694,4,985.31
4216,2,777.89
5496,3,239.24
9740,4,846.02
3526,3,370.47
6531,2,806.64
1674,3,1077.79
2330,3,392.86
5336,3,844.36
7825,2,532.89
9159,2,580.52
5745,4,676.77
8912,4,928.69
7653,3,712.81
1981,4,425.13
3353,2,197.82
6231,3,943.29
9437,4,903.12
8366,3,957.12
1829,3,458.9
7850,4,1198.48
6364,5,1500.22
9163,2,811.59
9171,3,726.08
1379,4,788.05
9281,2,343.1
1828,7,1873.09
8710,3,859.25
2761,2,362.14
1741,2,257.09
4189,4,577.01
5582,3,580.66
2946,2,128.87
7453,4,790.1
6990,4,1044.9
9341,2,439.31
6456,2,748.18
8487,2,101.02
5902,3,753.93
9351,2,391.07
5911,2,303.16
7824,2,761.83
4728,2,528.59
8871,5,1179.17
7229,3,644.03
4968,3,577.34
2800,2,561.05
6139,2,505.24
4340,3,707.57
8726,2,892.16
4397,3,736.51
8837,2,369.6
3837,3,571.22
6608,4,869.12
5038,2,310.39
4684,2,648.79
5735,2,368.94
9011,6,1469.01
5480,5,1536.02
9899,3,816.69
6654,2,973.81
5758,3,258.39
2294,4,737.71
5201,3,806.72
9700,3,885.63
1860,4,620.33
8739,3,130.96
1084,3,843.29
7666,2,440.22
8822,6,1851.4
6262,2,377.86
2465,3,800.35
9767,2,823.02
1595,3,1355.61
9116,2,179.39
5888,3,599.21
6489,3,884.12
4050,4,726.89
5833,4,915.16
3875,3,470.02
7643,3,680.29
6372,2,118.84
2562,3,687.03
8319,5,1416.62
5947,4,1158.98
1187,4,677.1
4871,3,955.54
8625,2,400.91
4590,2,611.22
3509,6,1983.56
7121,2,235.22
8714,2,787.89
4578,5,1921.37
2341,2,668.13
6927,5,1493.26
2838,3,397.82
3455,2,351.37
8239,3,319.65
9008,3,125.79
8298,2,850.11
3161,2,692.47
5169,3,1033.79
4570,2,493.44
7941,3,751
9866,2,753.75
8734,2,114.93
3948,2,399.41
7154,2,476.22
9835,4,974.27
2943,2,216.41
7439,3,776.48
9920,2,513.75
4762,4,999.43
3541,2,262.93
2848,2,342.97
4943,5,1000.7
1550,3,932.52
1797,2,518.4
7590,3,399.45
4559,5,1930.9
3295,2,692.5
4836,3,763.84
6224,2,664.15
6253,2,254.12
9540,2,283.9
3869,6,2068.09
7244,5,1012.22
8758,4,866.33
8586,4,1665.18
7761,2,913.7
1647,4,1585.64
4555,3,404.3
5967,4,1505.53
4470,2,721.62
2922,4,939.63
4974,2,787.33
4350,4,813.62
6269,6,1125.2
9147,3,701.78
4328,2,219.61
1749,3,1267.32
3390,4,316.04
7841,4,1042.97
6404,2,369.12
5026,4,980.1
6530,5,939.02
9037,2,493.54
6770,2,181.61
1962,2,302.27
1794,4,1089.21
3252,2,446.46
4583,2,576.84
1990,3,925.83
1108,3,767.47
1194,5,1236.98
5501,5,1823.4
1280,2,710.4
8054,2,819.84
2753,4,1058.85
3439,2,494.76
9625,3,699.75
5379,4,948.27
1519,2,227.64
7179,2,715.26
9189,2,655.73
6427,3,902.53
9653,3,969.87
4463,4,1210.37
8790,2,294.68
1256,3,836.42
7375,2,755.03
6435,3,618.55
3292,6,1773.36
2284,2,452.11
1879,3,662.89
9038,3,279.7
7225,3,1153.33
3527,5,1418.15
6909,2,492.22
2468,4,1116.53
4977,4,1221.25
7237,2,278.31
5933,3,668.04
2036,3,636.13
7899,3,897.26
6916,3,780.82
9123,3,1104.06
8501,2,262.19
1110,2,626.76
3230,2,549.38
6339,2,464.96
4273,2,468.32
3947,5,1251.8
1440,4,1128.88
4434,3,596.19
4965,3,782.13
8357,5,1460.3
9796,2,676.71
2791,4,1266.38
6816,2,526.87
1725,3,959.5
7547,3,1051.14
8052,3,288.71
9499,3,454.64
4621,4,401.14
8909,3,764.07
2406,2,448.58
3321,3,356.9
8460,4,1234.46
8178,4,1370.91
6225,4,1157.88
3623,4,774.7
8570,2,510.13
4022,4,448.95
8080,4,770
4232,2,636.67
7370,5,799.4
4371,2,335.35
2025,3,955.74
4063,2,343.22
8496,2,257.16
9019,3,491.73
6134,4,944.28
7431,2,523.56
3826,4,1013.12
5873,2,661.78
2931,3,973.27
3999,4,1617.88
9369,3,712.26
3258,3,1193.65
4043,2,734.05
3838,2,421.13
1157,4,1159.57
7290,5,1552.05
9109,3,942.67
7809,3,956.56
1505,2,509.05
5785,3,811.05
9808,4,750.15
9115,4,997.6
2871,2,161.7
7010,2,594.53
8231,7,966.29
2677,2,749.38
5055,4,620.22
8368,4,812.76
6744,3,731.57
8015,2,573.85
4385,2,843.44
6747,2,765.82
9827,4,522.37
5794,2,211.78
9428,2,884.82
2560,2,298.54
1971,5,1539.11
3078,2,721.63
5402,2,381.29
8405,3,332.97
7600,2,361.73
6362,2,347.49
2526,2,680.43
5646,2,480.38
3139,3,1032.39
6631,2,900.95
1752,2,536.29
1266,5,1212.98
8230,2,379.03
2529,2,676.09
2350,3,986.6
6005,2,451.13
9510,2,796.45
1132,6,2054.37
7919,5,1332.62
2160,2,603.64
2678,4,669.29
3340,3,306.93
1138,4,1241.24
3480,2,676.09
8248,3,756.32
7291,2,591.82
6152,3,845.05
5537,2,696.56
1439,4,807.8
5942,2,421.86
5842,3,649.98
9108,2,502.72
9185,3,962.21
9655,3,907.05
7337,2,536.27
7895,2,296.02
3830,2,467.75
1273,5,1226.73
7520,4,1256.24
9209,3,590.82
4329,3,725.06
9788,3,765.93
2083,3,690.72
4909,5,650.45
8118,3,371.23
3877,2,94.59
3248,3,809.13
9133,3,1145.81
9474,2,614.72
5247,3,942.38
5403,2,766.51
1480,2,623.08
5456,2,707.47
2262,4,1082.88
6900,3,573.36
3734,5,1522.18
2889,4,1032.9
1042,3,529.39
5006,6,1519.4
1579,3,484.68
7819,4,1558.65
5444,4,1216.13
7108,4,519.4
1862,4,1387.26
1130,5,1100.12
5979,2,559.68
5016,2,357.17
1391,2,288.3
4902,2,529.36
3332,4,1445.19
1719,3,999.01
7767,3,988.1
2565,4,1157.05
7461,5,633.63
7438,3,1291.61
6345,2,544.46
2785,2,411.13
8365,2,667.91
2964,4,804.27
1660,2,218.4
6828,3,496.37
5896,4,777.78
1509,2,489.42
4641,4,806.04
7098,2,683.28
2376,6,1514.66
2228,3,591.21
4239,4,1337.03
3110,3,205
3007,3,830.12
8096,3,1008.12
9128,3,230.24
4066,3,448.04
3435,2,37.22
7750,3,747.5
1999,2,493.85
9614,2,405.91
6883,2,541.38
6636,3,1175.91
1427,2,352.29
1959,4,1290.39
5060,3,568.67
9743,5,1666.44
1916,4,860.97
6878,2,487.66
6761,3,1340.29
3328,3,1214.06
9064,3,395.03
9035,2,379.2
4811,2,590.01
4300,2,600.83
3907,2,738.46
1975,3,872.11
3320,4,1481.76
6978,2,546.92
5944,2,314.37
8157,3,1117.14
5825,2,495.28
7415,2,856.49
4619,3,939.7
2274,3,912.09
3750,3,785.45
6500,3,1179.54
4435,3,536.94
6742,2,331.59
1020,2,438.22
9078,4,1812.2
9946,4,713.06
4695,4,1108.05
1547,2,275.27
5278,3,834.45
2525,2,400.75
3703,3,778.1
4367,3,1013.75
5872,2,239.49
7437,3,872.64
3516,3,85.33
8005,2,403.23
8869,4,1261.47
6052,2,886.68
9013,3,807.2
2493,2,748.31
4029,3,899.22
5313,2,305.98
4706,3,1280.44
2584,2,512.04
9871,4,831.49
9561,2,608.16
8779,4,689.76
8803,2,481.11
1568,2,592.15
3415,4,1034.26
3832,2,770.59
4471,3,914.93
1699,3,880.07
3422,3,598.01
6238,2,638.9
2425,3,539.38
6343,3,709.83
8506,3,839.55
7790,2,466.51
2641,3,1097.72
6633,3,997.87
7275,3,947.15
8750,2,193.74
7602,2,95.67
7581,3,630.81
4892,2,307.51
5400,3,868.8
6535,4,1335.79
6094,4,1271.24
2609,4,1350.43
3201,2,457.95
8259,5,1827.25
5414,3,972.1
2462,3,273.88
7671,4,1425.96
7126,3,997.1
3604,2,153.44
1474,2,152.38
4262,3,497.43
9275,2,511.9
1500,4,925.57
8308,4,919.9
1813,2,142.14
4511,3,1178.85
4688,2,603.83
1145,2,480.87
4666,3,646.43
7506,3,653.68
5631,3,263.02
5895,5,974.56
7620,2,370.76
9148,2,638.06
7857,3,644.8
1578,2,412.05
4643,3,825.2
8794,4,1309.3
3967,2,529.89
2463,4,753.01
7089,3,708.77
8598,5,1480.57
7704,2,556.13
3954,2,863.85
6449,2,457.12
3595,2,474.22
3120,4,1071.87
8035,3,844.16
7280,4,597.55
4267,2,768.78
5076,2,400.7
9246,6,1740.51
2069,4,1427.39
5764,3,378.78
9587,3,769.42
6885,3,872.44
7609,2,74.42
9267,3,528.69
1612,3,582.95
5190,4,1203.49
1796,2,355.34
1790,3,1115.06
8279,2,605.9
5140,4,821.17
4366,3,916.49
3247,2,366.08
9381,4,1597.17
9154,3,515.75
5308,3,668.88
6864,3,948.31
3627,4,535.91
4402,3,589.3
6416,5,675.16
2458,3,1053.52
2659,6,1682.63
4787,2,578.93
5327,2,328.42
3862,5,1970.4
6901,4,1353.57
7979,2,758.1
3793,2,199.04
5395,3,1056.74
2865,2,375.29
5453,2,851.88
8835,3,1259.58
3732,4,707.6
1960,2,948.03
6875,3,1208.59
3140,2,298.73
2850,2,610
1753,4,1054
9598,4,1393.29
4669,5,1798.34
6542,2,428.61
5072,6,1872.08
7305,3,616.71
1894,6,1055.69
9283,3,826.01
3709,2,186.64
1824,3,1112.03
8324,4,1182.13
2489,2,491.63
5990,3,923.66
4389,3,467.33
6584,2,492.06
8751,3,778.62
4633,2,166.57
5783,3,708.45
4209,2,540.46
4532,3,575.66
6536,6,1017.12
1761,2,555.34
3018,4,1488.17
8493,3,886.35
3205,4,1238.24
9689,3,886.03
8091,3,1244.9
9328,5,1144.63
3845,4,1510.99
2696,6,1468.22
6273,2,629.96
7859,3,1336.32
