customer_id,cohort_month,order_month,month_number
2612,2021-03,2021-03,0
6559,2023-02,2023-02,0
5073,2020-07,2022-02,18
8350,2021-05,2025-02,44
5563,2021-05,2021-11,6
8260,2021-05,2024-11,42
2604,2021-08,2021-08,0
1241,2024-01,2024-01,0
3724,2021-09,2021-09,0
4502,2020-08,2023-10,38
3697,2020-09,2022-02,16
5345,2020-10,2020-10,0
5673,2021-12,2025-04,40
8973,2024-01,2024-08,6
4566,2020-05,2020-12,6
9883,2020-07,2020-07,0
1936,2022-04,2023-07,15
9238,2021-03,2021-03,0
3579,2020-07,2024-06,46
2312,2020-08,2021-04,7
2113,2020-02,2022-03,25
7615,2024-01,2024-01,0
5033,2020-02,2020-02,0
2343,2021-07,2021-07,0
9565,2023-03,2023-03,0
4346,2023-04,2023-04,0
4910,2023-07,2023-07,0
5915,2021-09,2021-09,0
1152,2021-09,2024-10,36
2638,2021-09,2021-09,0
9288,2024-04,2024-04,0
2127,2020-10,2020-10,0
5669,2020-08,2020-08,0
5956,2021-03,2024-09,42
9666,2020-08,2020-09,0
5905,2023-08,2023-08,0
3200,2021-01,2024-10,44
3546,2020-06,2020-06,0
4450,2021-02,2023-04,26
5325,2020-09,2021-08,11
1832,2022-01,2022-03,1
5533,2021-08,2021-08,0
3143,2022-05,2024-09,27
3647,2021-06,2022-12,17
8007,2022-02,2022-02,0
2232,2022-09,2022-09,0
3442,2022-03,2023-11,19
3426,2022-03,2022-03,0
6050,2020-02,2021-11,21
6862,2021-06,2021-06,0
2684,2021-10,2023-09,22
7658,2020-08,2025-03,55
3532,2021-08,2025-04,43
3662,2022-06,2022-06,0
7755,2023-05,2024-07,13
6442,2024-05,2024-12,7
5065,2024-01,2024-02,0
2771,2021-01,2024-08,43
8711,2022-02,2023-08,17
6728,2020-03,2020-03,0
4652,2020-09,2025-02,53
7528,2023-09,2024-01,4
5573,2020-11,2021-06,7
7548,2023-02,2023-04,1
6425,2023-02,2023-02,0
5279,2020-05,2023-01,31
1626,2021-09,2021-09,0
6663,2022-03,2022-03,0
8149,2022-01,2022-01,0
2894,2021-12,2025-02,38
4114,2022-04,2024-04,24
8144,2020-05,2022-01,19
4228,2022-10,2022-10,0
6409,2020-08,2021-12,16
3041,2022-10,2022-10,0
9308,2021-01,2023-05,28
6344,2024-10,2024-10,0
3085,2023-08,2023-08,0
7211,2021-06,2021-06,0
5930,2020-06,2020-06,0
5978,2020-06,2020-06,0
6279,2020-09,2020-09,0
4501,2020-02,2023-11,44
3780,2021-06,2021-06,0
9445,2022-01,2022-01,0
6491,2023-05,2023-05,0
6085,2020-04,2025-04,60
3414,2020-02,2021-04,13
8784,2020-10,2023-04,29
8461,2020-10,2020-10,0
4185,2020-07,2022-06,23
9099,2020-11,2020-11,0
1090,2024-04,2024-04,0
7965,2021-10,2023-04,17
9486,2020-01,2022-03,26
5082,2021-01,2021-01,0
8478,2021-06,2023-01,18
9702,2023-12,2023-12,0
6198,2020-03,2024-07,52
9270,2024-05,2024-05,0
8305,2021-10,2023-05,18
8777,2023-04,2024-03,11
5543,2020-01,2020-01,0
8939,2021-08,2021-08,0
8206,2021-04,2022-10,17
4841,2021-12,2021-12,0
9849,2020-09,2020-09,0
4788,2021-06,2024-03,32
4505,2022-03,2022-03,0
6421,2021-05,2022-09,15
2020,2020-04,2022-04,24
7381,2020-08,2020-08,0
1320,2023-11,2023-11,0
7232,2021-08,2024-07,35
5892,2020-12,2020-12,0
9818,2020-08,2023-06,34
4613,2020-01,2020-05,3
8140,2023-11,2023-11,0
6507,2023-11,2023-11,0
3704,2020-06,2020-06,0
9751,2020-07,2023-09,38
1444,2021-11,2021-11,0
3223,2020-04,2020-04,0
1823,2020-09,2020-09,0
4467,2020-08,2020-08,0
7211,2021-06,2024-05,35
5133,2023-06,2023-06,0
1317,2022-09,2022-09,0
6733,2020-10,2021-04,6
1659,2021-11,2021-11,0
4266,2022-07,2022-07,0
3496,2022-05,2023-10,16
2874,2022-03,2024-03,23
8619,2023-03,2023-03,0
3749,2021-08,2025-03,42
2876,2020-04,2020-04,0
6096,2020-01,2021-10,21
6111,2023-03,2023-03,0
7498,2023-07,2024-06,10
2245,2020-06,2021-05,11
4978,2021-10,2021-10,0
2983,2020-06,2020-06,0
1672,2022-01,2025-01,35
7071,2020-09,2024-11,49
6590,2023-02,2023-02,0
9031,2021-06,2021-06,0
8532,2020-09,2020-09,0
3885,2020-11,2023-12,37
5425,2021-12,2023-10,21
8921,2020-06,2020-06,0
5397,2023-06,2023-06,0
2419,2024-05,2024-05,0
4995,2023-03,2024-08,16
7209,2020-03,2020-03,0
6325,2021-05,2021-05,0
6813,2023-02,2023-02,0
5581,2020-04,2020-04,0
5526,2020-04,2020-04,0
4130,2020-02,2022-11,32
7658,2020-08,2023-02,30
8800,2023-12,2023-12,0
8342,2020-04,2020-04,0
5820,2020-07,2022-09,26
4986,2021-10,2021-10,0
7046,2020-07,2022-06,22
6632,2024-10,2024-10,0
6419,2021-01,2024-05,39
5438,2024-04,2024-04,0
2976,2020-11,2022-05,17
2958,2020-04,2020-04,0
4033,2021-01,2021-03,2
8933,2020-06,2024-05,47
9595,2020-08,2020-08,0
4180,2020-09,2023-11,37
3939,2022-06,2022-06,0
9751,2020-07,2020-07,0
1893,2022-11,2022-11,0
3068,2020-07,2023-02,30
2680,2021-10,2024-09,34
5658,2023-08,2023-08,0
6582,2020-09,2023-12,39
5136,2021-05,2021-05,0
2869,2020-09,2020-09,0
9056,2023-01,2025-02,24
1878,2023-04,2023-04,0
5978,2020-06,2022-11,28
2940,2021-08,2023-05,20
4697,2020-06,2020-06,0
8381,2023-11,2023-11,0
8025,2020-08,2022-01,17
1986,2022-10,2024-09,23
2625,2022-02,2022-02,0
4457,2024-07,2024-07,0
3573,2021-09,2021-09,0
2229,2020-04,2024-06,50
8381,2023-11,2023-11,0
5771,2024-02,2024-02,0
5632,2020-01,2020-09,8
2166,2022-10,2022-10,0
4241,2023-06,2023-06,0
4683,2020-11,2021-02,3
3330,2020-03,2020-03,0
6039,2024-09,2024-09,0
5728,2023-02,2023-02,0
5982,2020-07,2023-07,35
9199,2020-10,2024-12,50
2317,2024-03,2024-03,0
6280,2021-06,2024-07,36
2496,2022-03,2024-02,22
1339,2023-08,2023-08,0
5415,2024-12,2024-12,0
8708,2020-06,2021-04,9
5557,2021-11,2021-11,0
8141,2021-04,2024-12,43
2494,2024-01,2024-01,0
6460,2022-06,2022-07,1
3634,2022-05,2024-12,30
9117,2020-08,2020-08,0
1601,2020-12,2021-03,3
5135,2022-06,2022-06,0
9431,2022-07,2022-07,0
9889,2022-12,2022-12,0
4073,2024-07,2024-07,0
9167,2022-12,2022-12,0
4335,2020-03,2021-11,19
5719,2021-01,2022-01,11
8941,2020-05,2021-06,12
4920,2021-08,2024-12,40
1224,2020-09,2020-09,0
4681,2022-01,2023-05,16
8560,2022-07,2022-07,0
3522,2021-12,2023-06,17
5781,2020-01,2021-07,18
7807,2021-03,2021-03,0
4993,2020-12,2020-12,0
7284,2021-01,2021-01,0
9327,2022-07,2022-07,0
2143,2020-10,2020-10,0
6568,2023-03,2024-01,10
5377,2020-12,2020-12,0
5891,2021-05,2024-09,39
9022,2022-10,2022-10,0
9824,2020-03,2023-02,35
9903,2020-04,2023-12,44
4090,2020-02,2021-01,10
7274,2020-04,2022-12,31
1715,2021-09,2021-09,0
7246,2020-01,2020-01,0
3492,2020-07,2020-07,0
3068,2020-07,2023-11,39
6439,2021-11,2021-11,0
2633,2021-03,2024-01,33
1251,2022-04,2022-04,0
3529,2021-09,2021-09,0
6546,2023-03,2023-06,2
2315,2020-04,2023-11,42
9742,2022-11,2022-11,0
8994,2023-07,2023-07,0
2121,2024-11,2024-11,0
5708,2024-10,2024-10,0
2480,2020-02,2021-10,20
2646,2022-03,2023-06,15
5906,2022-05,2022-05,0
6314,2020-02,2020-09,6
6873,2020-05,2022-08,26
5000,2020-06,2022-08,25
3950,2021-07,2022-10,14
7267,2020-08,2022-04,19
9153,2020-07,2022-03,19
4804,2023-10,2023-10,0
8529,2020-03,2024-08,52
8622,2020-01,2020-01,0
9955,2020-05,2021-06,13
6661,2022-03,2022-03,0
7951,2021-08,2024-01,28
5949,2020-08,2023-01,29
8916,2022-05,2023-01,8
6881,2020-08,2020-08,0
5837,2020-10,2021-05,7
7484,2021-06,2022-07,13
1803,2021-03,2024-06,39
9138,2021-02,2023-01,23
4770,2021-08,2021-08,0
4588,2022-04,2024-05,24
5106,2022-01,2022-01,0
3240,2021-09,2021-09,0
1645,2020-03,2020-10,6
1546,2020-04,2020-04,0
3153,2020-06,2020-06,0
6352,2023-10,2023-10,0
4289,2020-02,2020-02,0
6994,2021-04,2021-04,0
3695,2023-07,2023-07,0
5835,2023-04,2023-06,1
2886,2023-09,2024-03,6
3306,2020-08,2022-12,28
7511,2022-02,2022-02,0
6992,2020-09,2020-09,0
1228,2022-12,2022-12,0
8451,2020-01,2023-10,44
5295,2022-06,2022-06,0
7086,2025-04,2025-04,0
8724,2020-01,2020-01,0
6374,2021-10,2021-10,0
2035,2020-04,2020-04,0
5951,2021-05,2021-05,0
3290,2022-11,2023-02,2
5986,2020-01,2020-01,0
2592,2020-08,2020-08,0
3222,2021-03,2023-06,27
9850,2020-05,2024-11,53
3531,2020-05,2020-05,0
2622,2021-04,2023-04,23
7686,2022-01,2022-01,0
1536,2022-11,2022-11,0
8264,2020-10,2024-01,39
6942,2020-03,2020-09,6
7018,2020-04,2020-04,0
6876,2020-06,2022-07,24
4109,2020-11,2020-11,0
2501,2021-09,2021-09,0
1349,2021-12,2022-03,2
4990,2020-03,2020-06,2
4362,2021-04,2021-04,0
4394,2020-01,2021-01,11
6383,2021-01,2021-01,0
1046,2022-01,2024-03,25
3129,2020-07,2020-07,0
2801,2022-01,2022-01,0
3159,2020-05,2020-11,6
6304,2021-04,2021-04,0
1858,2021-05,2022-10,17
9619,2023-02,2025-04,26
8802,2020-08,2021-10,13
9408,2020-12,2020-12,0
9254,2021-02,2021-02,0
1710,2020-03,2022-07,27
9543,2020-10,2020-10,0
1510,2021-03,2024-06,39
7580,2020-10,2020-10,0
9032,2021-09,2023-01,16
2204,2020-10,2020-10,0
3430,2020-01,2024-10,57
9984,2022-10,2023-03,5
9692,2020-02,2022-09,31
8048,2024-04,2024-04,0
2874,2022-03,2022-03,0
4522,2024-03,2024-03,0
7779,2020-12,2021-12,11
7532,2020-12,2022-03,14
6120,2024-01,2024-01,0
5176,2020-01,2020-01,0
8770,2020-07,2024-11,52
2527,2020-09,2020-09,0
7105,2020-09,2021-08,10
1982,2024-07,2024-07,0
6400,2020-01,2020-01,0
6793,2021-02,2021-02,0
1842,2020-04,2022-08,27
6119,2022-02,2022-02,0
9313,2022-06,2024-06,24
8900,2020-12,2022-08,20
6736,2023-07,2023-07,0
2882,2020-02,2020-03,0
4705,2022-01,2022-01,0
1430,2021-06,2022-04,10
5381,2020-05,2020-05,0
6062,2020-07,2020-07,0
1100,2022-02,2024-06,27
7566,2021-03,2021-11,7
1502,2023-01,2023-01,0
4524,2022-10,2023-05,7
6585,2024-10,2024-10,0
6314,2020-02,2023-07,41
2391,2022-08,2023-12,15
3579,2020-07,2022-11,27
2336,2020-02,2020-02,0
7947,2021-12,2021-12,0
7785,2020-05,2024-07,50
2864,2023-09,2023-09,0
5640,2020-06,2020-06,0
8972,2021-11,2024-04,28
1744,2023-04,2023-04,0
1897,2020-01,2021-07,17
4460,2020-10,2023-04,29
5742,2020-03,2023-08,40
9149,2023-07,2023-07,0
3116,2022-04,2022-04,0
4770,2021-08,2022-12,16
6802,2020-11,2020-11,0
1693,2020-12,2020-12,0
2275,2022-01,2023-08,18
8033,2021-06,2025-04,46
7843,2022-01,2022-01,0
1341,2021-01,2023-12,34
8538,2020-07,2022-07,24
2443,2022-06,2022-06,0
4986,2021-10,2023-01,15
9584,2023-01,2023-11,10
6562,2022-07,2022-07,0
2251,2020-03,2020-10,7
9693,2020-09,2023-02,29
6752,2020-04,2020-04,0
3419,2022-05,2022-05,0
5193,2020-02,2022-07,29
3504,2020-11,2020-11,0
2234,2021-08,2024-02,30
9095,2021-11,2023-03,16
8354,2020-04,2022-05,24
6295,2021-09,2022-09,11
6179,2022-09,2024-03,18
8682,2023-07,2023-07,0
5500,2020-01,2020-01,0
9312,2022-11,2022-11,0
8404,2020-01,2024-09,56
5703,2020-01,2025-03,62
9307,2022-06,2022-06,0
1672,2022-01,2022-04,2
4084,2022-11,2025-01,26
9214,2020-05,2021-07,13
8381,2023-11,2024-08,9
2381,2021-09,2021-09,0
1641,2020-06,2020-06,0
8199,2023-05,2023-12,7
3600,2022-02,2022-02,0
7347,2020-05,2021-05,11
1857,2021-11,2025-01,37
6482,2020-06,2025-01,55
7333,2022-03,2022-03,0
3463,2021-07,2021-07,0
3317,2020-03,2023-02,34
7421,2021-02,2021-02,0
2388,2022-10,2023-03,5
6381,2020-02,2024-10,55
9624,2024-01,2024-01,0
7937,2023-01,2023-01,0
6940,2021-01,2024-09,43
6598,2020-10,2021-12,13
4145,2022-08,2025-02,29
3538,2023-02,2023-02,0
9317,2020-06,2020-06,0
9626,2021-07,2021-07,0
3147,2022-06,2024-12,30
3658,2020-03,2022-07,28
3712,2020-10,2020-10,0
7731,2021-10,2021-10,0
4891,2022-07,2023-09,13
5668,2020-08,2020-08,0
4833,2021-10,2021-10,0
8684,2021-10,2021-12,2
7026,2021-09,2021-09,0
8218,2020-08,2021-02,6
7256,2022-07,2022-07,0
3655,2021-01,2024-11,46
3267,2020-09,2020-09,0
8873,2022-01,2022-01,0
2680,2021-10,2021-10,0
3042,2020-03,2021-03,12
5469,2022-04,2022-04,0
3414,2020-02,2020-02,0
4637,2022-04,2023-02,10
1436,2020-07,2020-07,0
9224,2020-02,2021-02,11
2337,2022-03,2022-03,0
6221,2024-05,2024-05,0
6493,2021-02,2024-06,40
1627,2021-05,2021-06,1
3273,2020-03,2022-09,30
8349,2020-09,2023-12,39
1311,2023-12,2023-12,0
9991,2022-08,2024-06,22
9647,2020-02,2020-06,4
4893,2021-04,2023-05,24
4906,2021-02,2023-06,28
8489,2020-09,2020-09,0
9782,2020-01,2023-12,46
4963,2020-02,2020-09,7
8032,2020-04,2025-04,59
4941,2020-10,2025-04,53
2402,2020-07,2024-06,46
2108,2021-11,2022-06,7
9312,2022-11,2025-01,26
1333,2020-10,2020-10,0
1713,2024-08,2024-08,0
5155,2024-03,2025-02,10
2106,2021-07,2023-06,22
2698,2021-05,2021-05,0
6447,2020-01,2020-01,0
9945,2020-04,2020-04,0
3868,2020-03,2023-02,34
8612,2023-04,2024-01,8
3986,2020-02,2020-02,0
8498,2020-03,2021-03,12
1717,2021-10,2022-09,10
6170,2022-08,2023-09,13
7524,2020-05,2022-08,27
8756,2020-07,2023-02,30
4131,2023-08,2025-03,19
6438,2021-07,2021-07,0
8159,2021-02,2023-09,31
8204,2022-01,2022-01,0
6554,2021-02,2021-02,0
9151,2024-06,2024-06,0
5369,2025-02,2025-02,0
7955,2020-08,2020-08,0
3956,2020-07,2020-08,1
2680,2021-10,2023-09,23
5843,2020-12,2025-03,51
7981,2021-05,2022-09,15
6759,2020-07,2021-05,10
6776,2022-12,2022-12,0
5498,2021-04,2022-03,10
2229,2020-04,2020-12,7
6952,2022-01,2024-04,26
3621,2020-12,2022-03,15
8179,2020-05,2020-05,0
4866,2021-06,2022-09,15
6933,2023-12,2023-12,0
1530,2022-03,2022-08,5
8371,2021-02,2021-02,0
8273,2020-12,2020-12,0
3255,2020-02,2022-02,23
6150,2022-07,2023-12,17
2858,2023-10,2023-10,0
9176,2025-03,2025-03,0
2929,2020-03,2021-01,10
8311,2021-06,2021-06,0
5678,2020-09,2022-04,18
4279,2020-08,2021-09,13
8406,2020-09,2023-12,38
8292,2020-07,2025-01,53
6236,2020-08,2020-08,0
2063,2020-09,2022-11,25
5914,2023-09,2023-09,0
3852,2023-12,2024-12,11
4673,2020-09,2020-09,0
3275,2022-11,2022-11,0
1430,2021-06,2021-06,0
7044,2020-02,2020-02,0
3126,2022-01,2023-12,23
2077,2022-03,2025-02,34
8842,2023-05,2023-05,0
2208,2021-07,2021-07,0
2215,2023-04,2023-04,0
9476,2020-09,2021-11,13
3981,2020-01,2020-08,6
8088,2021-07,2022-01,5
3034,2022-07,2022-07,0
3697,2020-09,2020-09,0
4694,2021-03,2025-02,47
5653,2024-06,2024-06,0
4216,2020-03,2020-03,0
5496,2022-11,2025-03,28
9740,2020-05,2023-06,36
3762,2020-07,2020-07,0
3526,2020-10,2021-09,10
6531,2022-08,2022-08,0
1674,2020-10,2020-10,0
2330,2021-12,2021-12,0
5336,2020-11,2022-06,18
7825,2022-08,2022-08,0
9159,2020-04,2020-04,0
5745,2020-02,2022-06,28
8912,2022-06,2022-06,0
7653,2021-01,2023-05,28
1981,2020-04,2021-10,18
8933,2020-06,2022-12,30
3353,2022-07,2024-12,29
6231,2020-04,2021-02,10
7532,2020-12,2021-11,10
9437,2022-10,2023-09,10
4960,2023-06,2023-06,0
8366,2021-11,2025-02,39
1829,2021-08,2021-08,0
7850,2021-12,2024-05,28
6364,2020-02,2022-10,32
6123,2020-06,2020-06,0
9163,2020-12,2020-12,0
9171,2020-08,2020-08,0
1379,2021-06,2024-11,40
9281,2020-12,2020-12,0
4524,2022-10,2022-10,0
1828,2020-04,2023-11,42
8710,2021-05,2021-11,5
2761,2022-02,2022-04,1
6992,2020-09,2024-05,44
1741,2021-09,2021-09,0
4189,2022-03,2022-03,0
2204,2020-10,2023-01,26
5582,2020-11,2021-06,6
2946,2023-10,2025-04,18
7453,2020-05,2024-03,45
6990,2020-03,2021-04,12
9341,2021-02,2021-02,0
1742,2024-08,2024-08,0
6456,2022-10,2022-10,0
8487,2021-12,2021-12,0
3290,2022-11,2025-02,26
6218,2024-05,2024-05,0
5902,2022-02,2023-08,17
9351,2024-08,2024-08,0
5911,2021-07,2023-11,28
7035,2024-09,2024-09,0
7824,2023-05,2023-05,0
1436,2020-07,2025-01,53
4728,2020-10,2020-10,0
8871,2020-11,2022-08,20
7229,2021-03,2021-03,0
4968,2021-08,2021-08,0
2800,2020-02,2020-02,0
6139,2022-06,2022-06,0
4340,2023-02,2023-08,5
8726,2024-04,2024-04,0
2020,2020-04,2020-04,0
4397,2020-11,2020-11,0
8837,2020-08,2024-04,44
3837,2024-10,2025-03,5
6608,2021-08,2021-08,0
5331,2023-07,2023-07,0
5038,2023-03,2023-03,0
4684,2020-11,2020-11,0
5735,2020-11,2023-08,33
9011,2020-02,2024-05,51
5480,2020-03,2023-03,36
9899,2020-09,2021-08,11
6654,2021-02,2021-02,0
5758,2020-03,2020-03,0
2294,2022-08,2022-11,2
5201,2023-12,2024-10,10
4310,2020-01,2020-01,0
5450,2023-03,2023-03,0
4920,2021-08,2021-08,0
9700,2020-09,2024-06,45
1860,2021-06,2021-06,0
8739,2021-09,2023-07,22
1084,2022-03,2022-06,2
7666,2020-03,2021-12,20
8822,2021-01,2024-06,40
6262,2023-05,2024-08,14
2465,2021-03,2021-03,0
9767,2024-06,2024-06,0
3868,2020-03,2022-03,24
1595,2020-02,2020-02,0
9116,2023-11,2023-11,0
5742,2020-03,2021-03,11
5888,2021-03,2021-03,0
6489,2021-09,2022-03,6
9901,2024-01,2024-01,0
9261,2023-09,2023-09,0
2845,2022-07,2022-07,0
8518,2022-05,2022-05,0
4050,2020-11,2021-09,9
5833,2020-01,2022-12,34
3875,2020-10,2022-05,18
7643,2022-04,2022-09,4
6372,2020-03,2020-03,0
2562,2023-05,2023-05,0
8822,2021-01,2021-04,2
1111,2024-01,2024-01,0
8319,2021-01,2023-08,31
5947,2020-06,2023-11,40
1187,2020-02,2020-02,0
4871,2021-02,2021-02,0
8625,2023-12,2023-12,0
9233,2021-01,2021-01,0
6095,2021-06,2021-06,0
5833,2020-01,2022-12,35
4590,2021-08,2021-08,0
3509,2021-01,2021-09,8
7121,2022-06,2024-09,27
8714,2022-10,2022-10,0
4578,2021-07,2025-04,44
2341,2021-08,2021-11,2
6927,2020-02,2020-10,8
2838,2023-04,2024-12,19
9281,2020-12,2024-01,37
3455,2023-08,2023-08,0
8239,2020-01,2021-01,12
9008,2020-11,2022-02,14
8298,2022-07,2022-07,0
3161,2024-01,2024-07,5
1945,2023-07,2023-07,0
6049,2023-12,2023-12,0
5169,2020-12,2020-12,0
4570,2020-12,2020-12,0
7941,2021-10,2022-10,11
9866,2021-08,2023-09,25
8734,2024-07,2024-10,2
3948,2022-01,2022-11,10
7887,2025-03,2025-03,0
8348,2024-01,2024-01,0
7154,2022-04,2022-04,0
9835,2020-08,2024-11,50
2943,2020-11,2023-12,37
7439,2023-04,2023-06,2
4648,2020-03,2020-03,0
5888,2021-03,2022-10,18
9920,2024-08,2025-02,5
4762,2021-08,2024-03,30
3541,2020-02,2024-04,50
2848,2020-02,2022-11,33
7868,2020-10,2020-10,0
4943,2022-08,2023-12,16
1550,2020-09,2022-07,22
1797,2021-06,2021-06,0
7590,2021-10,2021-10,0
4559,2021-04,2021-07,3
3295,2023-03,2023-03,0
4836,2021-09,2022-03,6
6224,2022-11,2022-11,0
6253,2023-01,2023-01,0
9540,2023-07,2024-08,12
5508,2023-08,2023-08,0
3869,2020-02,2025-04,61
9120,2023-10,2023-10,0
7244,2022-10,2023-09,11
7821,2022-12,2022-12,0
7167,2020-02,2020-02,0
8758,2021-02,2023-06,27
5927,2024-10,2024-10,0
8586,2020-09,2022-11,25
7761,2020-03,2020-03,0
9683,2020-08,2020-08,0
5177,2024-02,2024-02,0
2295,2021-08,2021-08,0
2514,2021-10,2021-10,0
1844,2023-01,2023-01,0
1647,2021-12,2022-07,6
4555,2020-02,2020-02,0
5967,2021-01,2024-03,38
4470,2020-04,2020-04,0
2922,2020-06,2020-06,0
4974,2021-08,2021-10,1
4350,2021-09,2024-08,35
6269,2020-09,2024-01,40
8639,2020-02,2020-02,0
6053,2022-11,2022-11,0
9147,2022-06,2025-01,31
8692,2024-07,2024-07,0
4328,2020-08,2020-08,0
1749,2020-02,2020-02,0
3390,2021-11,2024-10,35
7841,2020-04,2023-07,39
6404,2020-06,2023-04,34
5026,2020-06,2020-06,0
6530,2021-08,2021-08,0
9037,2020-05,2020-06,0
6770,2021-07,2021-12,5
9954,2020-01,2020-01,0
1962,2021-09,2024-02,28
1794,2020-08,2020-08,0
3252,2021-01,2021-01,0
2113,2020-02,2021-12,22
4583,2022-06,2022-06,0
1990,2022-01,2022-01,0
8916,2022-05,2022-05,0
1108,2022-08,2023-03,6
1194,2020-01,2020-01,0
5501,2020-07,2020-07,0
1280,2024-01,2024-03,2
8054,2024-02,2024-07,4
2753,2020-10,2024-06,44
3439,2020-01,2024-07,53
9625,2020-06,2020-06,0
5379,2020-08,2021-04,8
7112,2022-12,2022-12,0
4984,2020-09,2020-09,0
5914,2023-09,2025-03,17
1519,2020-04,2020-04,0
7179,2020-07,2023-07,36
1154,2022-10,2022-10,0
9189,2020-10,2022-01,15
6427,2021-08,2024-01,28
9653,2022-12,2022-12,0
4463,2020-01,2023-10,44
8790,2022-09,2023-08,10
5593,2020-05,2020-05,0
1539,2022-12,2022-12,0
1256,2021-09,2021-09,0
3362,2020-02,2020-02,0
7525,2021-12,2021-12,0
3661,2020-08,2020-08,0
7375,2023-02,2023-04,2
6435,2020-01,2020-01,0
3292,2020-08,2021-09,13
2284,2022-02,2022-02,0
1879,2020-07,2020-07,0
2245,2020-06,2023-01,30
7499,2021-11,2021-11,0
1485,2024-08,2024-08,0
9038,2020-02,2020-02,0
7150,2020-05,2020-05,0
7227,2022-06,2022-06,0
5839,2024-09,2024-09,0
2204,2020-10,2021-02,3
7225,2020-10,2020-10,0
3527,2022-08,2023-07,10
6909,2021-09,2021-09,0
6050,2020-02,2020-02,0
2674,2021-12,2021-12,0
8061,2024-10,2024-10,0
9395,2022-07,2022-07,0
2468,2020-06,2024-11,53
6315,2021-12,2021-12,0
5781,2020-01,2021-10,21
4977,2021-04,2021-10,5
7237,2020-12,2020-12,0
5933,2020-07,2020-07,0
2036,2021-12,2023-04,16
7899,2021-02,2025-03,49
6916,2021-07,2021-07,0
9123,2020-10,2024-05,42
8501,2023-11,2025-04,17
1110,2022-06,2024-08,25
7224,2021-06,2021-06,0
8212,2020-05,2020-05,0
3230,2023-03,2023-03,0
4290,2024-03,2024-03,0
7524,2020-05,2022-01,20
9044,2024-05,2024-05,0
6339,2020-04,2020-04,0
6980,2022-01,2022-01,0
4273,2022-12,2022-12,0
3947,2020-04,2020-04,0
1440,2020-06,2020-06,0
4434,2022-05,2022-05,0
2133,2020-03,2024-01,46
9180,2020-10,2020-10,0
4965,2022-05,2022-05,0
7932,2020-02,2021-01,11
8357,2021-02,2021-02,0
7566,2021-03,2023-03,23
7853,2023-11,2023-11,0
9796,2021-01,2021-01,0
2791,2021-04,2021-04,0
6816,2023-01,2023-01,0
1725,2024-01,2025-04,15
7547,2020-04,2022-12,31
8052,2020-05,2021-05,11
5239,2024-05,2024-05,0
9499,2021-03,2022-10,19
4621,2020-01,2023-10,45
8586,2020-09,2022-11,25
9199,2020-10,2023-07,32
8909,2023-04,2024-08,15
2406,2022-03,2023-11,19
3321,2023-08,2023-08,0
8460,2020-04,2020-04,0
8912,2022-06,2024-04,22
8178,2022-05,2022-05,0
6225,2020-01,2021-12,22
2885,2023-01,2023-01,0
2791,2021-04,2023-09,29
4996,2024-07,2024-07,0
3623,2022-07,2022-07,0
8570,2021-08,2024-01,28
4022,2020-12,2022-10,22
8080,2020-01,2022-02,24
4232,2020-03,2023-05,38
7370,2020-12,2022-03,14
