cohort_month,order_month,month_number,retained_customers
2020-08,2022-01,17,5
2020-08,2022-02,17,1
2020-08,2022-02,18,1
2020-08,2022-03,18,2
2020-08,2022-03,19,2
2020-08,2022-04,19,1
2020-08,2022-04,20,1
2020-08,2022-05,20,1
2020-08,2022-05,21,3
2020-08,2022-06,22,1
2020-08,2022-07,22,7
2020-08,2022-07,23,1
2020-08,2022-08,23,5
2020-08,2022-08,24,1
2020-08,2022-09,24,2
2020-08,2022-09,25,3
2020-08,2022-10,25,1
2020-08,2022-10,26,1
2020-08,2022-11,26,3
2020-08,2022-12,27,2
2020-08,2022-12,28,2
2020-08,2023-01,28,2
2020-08,2023-01,29,3
2020-08,2023-02,30,3
2020-08,2023-03,30,3
2020-08,2023-03,31,1
2020-08,2023-04,32,1
2020-08,2023-05,32,2
2020-08,2023-05,33,3
2020-08,2023-06,33,2
2020-08,2023-06,34,1
2020-08,2023-07,34,1
2020-08,2023-08,35,2
2020-08,2023-08,36,2
2020-08,2023-09,36,4
2020-08,2023-09,37,4
2020-08,2023-10,37,3
2020-08,2023-10,38,7
2020-08,2023-11,38,4
2020-08,2023-11,39,2
2020-08,2023-12,39,2
2020-08,2023-12,40,1
2020-08,2024-01,40,2
2020-08,2024-01,41,7
2020-08,2024-02,41,1
2020-08,2024-02,42,3
2020-08,2024-03,42,2
2020-08,2024-03,43,2
2020-08,2024-04,43,2
2020-08,2024-04,44,4
2020-08,2024-05,44,2
2020-08,2024-05,45,1
2020-08,2024-06,45,2
2020-08,2024-06,46,2
2020-08,2024-07,46,1
2020-08,2024-07,47,3
2020-08,2024-08,47,2
2020-08,2024-08,48,2
2020-08,2024-09,48,2
2020-08,2024-09,49,1
2020-08,2024-10,49,1
2020-08,2024-10,50,4
2020-08,2024-11,50,4
2020-08,2024-11,51,2
2020-08,2024-12,51,2
2020-08,2024-12,52,2
2020-08,2025-01,52,1
2020-08,2025-01,53,1
2020-08,2025-02,53,3
2020-08,2025-02,54,4
2020-08,2025-03,54,4
2020-08,2025-03,55,3
2020-08,2025-04,55,5
2020-08,2025-04,56,3
2020-09,2020-09,0,162
2020-09,2020-10,0,5
2020-09,2020-10,1,3
2020-09,2020-11,2,2
2020-09,2020-12,2,4
2020-09,2020-12,3,1
2020-09,2021-01,3,1
2020-09,2021-01,4,3
2020-09,2021-02,4,2
2020-09,2021-02,5,1
2020-09,2021-03,5,4
2020-09,2021-03,6,3
2020-09,2021-04,7,1
2020-09,2021-05,7,4
2020-09,2021-05,8,1
2020-09,2021-06,8,2
2020-09,2021-06,9,3
2020-09,2021-07,9,1
2020-09,2021-07,10,1
2020-09,2021-08,10,1
2020-09,2021-08,11,5
2020-09,2021-09,11,2
2020-09,2021-10,12,4
2020-09,2021-10,13,1
2020-09,2021-11,13,1
2020-09,2021-11,14,5
2020-09,2021-12,14,2
2020-09,2021-12,15,3
2020-09,2022-01,15,2
2020-09,2022-01,16,2
2020-09,2022-02,16,5
2020-09,2022-02,17,1
2020-09,2022-03,17,1
2020-09,2022-03,18,2
2020-09,2022-04,18,7
2020-09,2022-04,19,3
2020-09,2022-05,19,1
2020-09,2022-06,20,2
2020-09,2022-06,21,4
2020-09,2022-07,21,2
2020-09,2022-07,22,3
2020-09,2022-08,22,2
2020-09,2022-08,23,3
2020-09,2022-09,23,1
2020-09,2022-09,24,2
2020-09,2022-10,24,1
2020-09,2022-10,25,3
2020-09,2022-11,25,6
2020-09,2022-11,26,3
2020-09,2022-12,26,2
2020-09,2022-12,27,2
2020-09,2023-01,27,2
2020-09,2023-01,28,2
2020-09,2023-02,28,4
2020-09,2023-02,29,1
2020-09,2023-03,29,2
2020-09,2023-03,30,2
2020-09,2023-04,30,4
2020-09,2023-05,31,2
2020-09,2023-05,32,2
2020-09,2023-06,32,3
2020-09,2023-06,33,4
2020-09,2023-07,33,5
2020-09,2023-08,34,5
2020-09,2023-08,35,3
2020-09,2023-09,35,3
2020-09,2023-09,36,3
2020-09,2023-10,36,1
2020-09,2023-10,37,3
2020-09,2023-11,37,2
2020-09,2023-11,38,3
2020-09,2023-12,38,2
2020-09,2023-12,39,3
2020-09,2024-01,39,2
2020-09,2024-01,40,4
2020-09,2024-02,40,1
2020-09,2024-03,41,3
2020-09,2024-03,42,4
2020-09,2024-04,43,2
2020-09,2024-05,43,1
2020-09,2024-05,44,3
2020-09,2024-06,44,4
2020-09,2024-06,45,3
2020-09,2024-07,45,2
2020-09,2024-07,46,3
2020-09,2024-08,47,1
2020-09,2024-09,47,2
2020-09,2024-09,48,1
2020-09,2024-10,48,2
2020-09,2024-10,49,2
2020-09,2024-11,49,2
2020-09,2024-11,50,1
2020-09,2024-12,51,2
2020-09,2025-01,51,1
2020-09,2025-02,52,5
2020-09,2025-02,53,2
2020-09,2025-03,53,1
2020-09,2025-04,54,1
2020-09,2025-04,55,3
2020-10,2020-10,0,179
2020-10,2020-11,0,3
2020-10,2020-11,1,2
